,,,,,,,,,,,,,,
,,,,,,https://nyxcable.com/product/ysly-jz/,,,,,,ปรับตารางและใส่ราคาตั้ง,,
,,,,,,,,,,,,,,
Part NO.,,,,,Core x Conductor,Model,NO. of strands x,Outer ,Cu Weight,Weight,Conductor Resistance,ราคา,,
,,,,, Size (mm2),,Max strand Dia.(mm),Dia. (mm),(kg/km),(kg/km),@ 20oC (Ohm/km),บาทต่อเมตร,,Link เดิม
424021 004011,สายคอนโทรล YSLY-JZ,ysly-jz,40g1,,40G1,สายคอนโทรล YSLY-JZ 40G1,32x0.20,18.4,384,680,19.5,464.64,,https://nyxcable.com/สายคอนโทรล/ysly-jz-40g1/
424021 004111,สายคอนโทรล YSLY-JZ,ysly-jz,41g1,,41G1,สายคอนโทรล YSLY-JZ 41G1,32x0.20,18.9,394,700,19.5,476.25,,https://nyxcable.com/สายคอนโทรล/ysly-jz-41g1/
424021 004211,สายคอนโทรล YSLY-JZ,ysly-jz,42g1,,42G1,สายคอนโทรล YSLY-JZ 42G1,32x0.20,19.0,403,720,19.5,487.87,,https://nyxcable.com/สายคอนโทรล/ysly-jz-42g1/
424021 005011,สายคอนโทรล YSLY-JZ,ysly-jz,50g1,,50G1,สายคอนโทรล YSLY-JZ 50G1,32x0.20,20.9,480,925,19.5,668.43,,https://nyxcable.com/สายคอนโทรล/ysly-jz-50g1/
424021 005611,สายคอนโทรล YSLY-JZ,ysly-jz,56g1,,56G1,สายคอนโทรล YSLY-JZ 56G1,32x0.20,21.6,538,1020,19.5,-,,https://nyxcable.com/สายคอนโทรล/ysly-jz-56g1/
424021 006111,สายคอนโทรล YSLY-JZ,ysly-jz,61g1,,61G1,สายคอนโทรล YSLY-JZ 61G1,32x0.20,22.5,586,1100,19.5,-,,https://nyxcable.com/สายคอนโทรล/ysly-jz-61g1/
424021 006511,สายคอนโทรล YSLY-JZ,ysly-jz,65g1,,65G1,สายคอนโทรล YSLY-JZ 65G1,32x0.20,23.4,624,1170,19.5,-,,https://nyxcable.com/สายคอนโทรล/ysly-jz-65g1/
424021 008011,สายคอนโทรล YSLY-JZ,ysly-jz,80g1,,80G1,สายคอนโทรล YSLY-JZ 80G1,32x0.20,25.7,786,1300,19.5,1013.12,,https://nyxcable.com/สายคอนโทรล/ysly-jz-80g1/
424021 009911,สายคอนโทรล YSLY-JZ,ysly-jz,100g1,,100G1,สายคอนโทรล YSLY-JZ 100G1,32x0.20,28.6,960,1630,19.5,-,,https://nyxcable.com/สายคอนโทรล/ysly-jz-100g1/
,,,,,,,,,,,,,,
424011 500211,สายคอนโทรล YSLY-OZ,ysly-oz,2x1.5,,2X1.5,สายคอนโทรล YSLY-OZ 2X1.5,30x0.25,6.6,28.8,100,13.3,31.55,,https://nyxcable.com/สายคอนโทรล/ysly-oz-2x1.5/
424021 500311,สายคอนโทรล YSLY-JZ,ysly-jz,3g1.5,,3G1.5,สายคอนโทรล YSLY-JZ 3G1.5,30x0.25,6.8,43.2,110,13.3,45.25,,https://nyxcable.com/สายคอนโทรล/ysly-jz-3g1.5/
424021 500411,สายคอนโทรล YSLY-JZ,ysly-jz,4g1.5,,4G1.5,สายคอนโทรล YSLY-JZ 4G1.5,30x0.25,7.4,57.6,125,13.3,58.05,,https://nyxcable.com/สายคอนโทรล/ysly-jz-4g1.5/
424021 500511,สายคอนโทรล YSLY-JZ,ysly-jz,5g1.5,,5G1.5,สายคอนโทรล YSLY-JZ 5G1.5,30x0.25,8.3,72.0,145,13.3,73.29,,https://nyxcable.com/สายคอนโทรล/ysly-jz-5g1.5/
424021 500611,สายคอนโทรล YSLY-JZ,ysly-jz,6g1.5,,6G1.5,สายคอนโทรล YSLY-JZ 6G1.5,30x0.25,9.0,86.4,170,13.3,92.00,,https://nyxcable.com/สายคอนโทรล/ysly-jz-6g1.5/
424021 500711,สายคอนโทรล YSLY-JZ,ysly-jz,7g1.5,,7G1.5,สายคอนโทรล YSLY-JZ 7G1.5,30x0.25,9.1,101,195,13.3,104.86,,https://nyxcable.com/สายคอนโทรล/ysly-jz-7g1.5/
424021 500811,สายคอนโทรล YSLY-JZ,ysly-jz,8g1.5,,8G1.5,สายคอนโทรล YSLY-JZ 8G1.5,30x0.25,10.9,115,215,13.3,120.74,,https://nyxcable.com/สายคอนโทรล/ysly-jz-8g1.5/
424021 500911,สายคอนโทรล YSLY-JZ,ysly-jz,9g1.5,,9G1.5,สายคอนโทรล YSLY-JZ 9G1.5,30x0.25,11.7,129,230,13.3,137.97,,https://nyxcable.com/สายคอนโทรล/ysly-jz-9g1.5/
424021 501011,สายคอนโทรล YSLY-JZ,ysly-jz,10g1.5,,10G1.5,สายคอนโทรล YSLY-JZ 10G1.5,30x0.25,11.8,144,260,13.3,155.62,,https://nyxcable.com/สายคอนโทรล/ysly-jz-10g1.5/
424021 501211,สายคอนโทรล YSLY-JZ,ysly-jz,12g1.5,,12G1.5,สายคอนโทรล YSLY-JZ 12G1.5,30x0.25,12.4,173,310,13.3,179.67,,https://nyxcable.com/สายคอนโทรล/ysly-jz-12g1.5/
424021 501411,สายคอนโทรล YSLY-JZ,ysly-jz,14g1.5,,14G1.5,สายคอนโทรล YSLY-JZ 14G1.5,30x0.25,12.9,202,360,13.3,212.53,,https://nyxcable.com/สายคอนโทรล/ysly-jz-14g1.5/
424021 501611,สายคอนโทรล YSLY-JZ,ysly-jz,16g1.5,,16G1.5,สายคอนโทรล YSLY-JZ 16G1.5,30x0.25,13.8,230,390,13.3,251.92,,https://nyxcable.com/สายคอนโทรล/ysly-jz-16g1.5/
424021 501811,สายคอนโทรล YSLY-JZ,ysly-jz,18g1.5,,18G1.5,สายคอนโทรล YSLY-JZ 18G1.5,30x0.25,14.8,259,420,13.3,283.94,,https://nyxcable.com/สายคอนโทรล/ysly-jz-18g1.5/
424021 501911,สายคอนโทรล YSLY-JZ,ysly-jz,19g1.5,,19G1.5,สายคอนโทรล YSLY-JZ 19G1.5,30x0.25,14.9,279,440,13.3,299.71,,https://nyxcable.com/สายคอนโทรล/ysly-jz-19g1.5/
424021 502111,สายคอนโทรล YSLY-JZ,ysly-jz,21g1.5,,21G1.5,สายคอนโทรล YSLY-JZ 21G1.5,30x0.25,16.0,302,535,13.3,321.96,,https://nyxcable.com/สายคอนโทรล/ysly-jz-21g1.5/
424021 502511,สายคอนโทรล YSLY-JZ,ysly-jz,25g1.5,,25G1.5,สายคอนโทรล YSLY-JZ 25G1.5,30x0.25,17.2,360,600,13.3,399.40,,https://nyxcable.com/สายคอนโทรล/ysly-jz-25g1.5/
424021 503011,สายคอนโทรล YSLY-JZ,ysly-jz,30g1.5,,30G1.5,สายคอนโทรล YSLY-JZ 30G1.5,30x0.25,18.8,432,660,13.3,438.00,,https://nyxcable.com/สายคอนโทรล/ysly-jz-30g1.5/
424021 503411,สายคอนโทรล YSLY-JZ,ysly-jz,34g1.5,,34G1.5,สายคอนโทรล YSLY-JZ 34G1.5,30x0.25,19.8,490,730,13.3,562.38,,https://nyxcable.com/สายคอนโทรล/ysly-jz-34g1.5/
424021 504011,สายคอนโทรล YSLY-JZ,ysly-jz,40g1.5,,40G1.5,สายคอนโทรล YSLY-JZ 40G1.5,30x0.25,21.6,576,895,13.3,626.28,,https://nyxcable.com/สายคอนโทรล/ysly-jz-40g1.5/
424021 504211,สายคอนโทรล YSLY-JZ,ysly-jz,42g1.5,,42G1.5,สายคอนโทรล YSLY-JZ 42G1.5,30x0.25,21.6,605,900,13.3,657.59,,https://nyxcable.com/สายคอนโทรล/ysly-jz-42g1.5/
